Figure,Model_ID,Dependent_Variable,Predictor,Coef,Std_Err,z_value,p_value,CI_2.5%,CI_97.5%,Power_Lvl1,Power_Lvl2,Group_Var,Random_Slope_Var,Group_x_Slope_Cov,Residual_Var,Log_Likelihood,N_Obs,N_Groups
Fig. 2c,Model 1,TakeOffSpeed,Intercept,0.632,0.043,14.588,0.0,0.5468,0.7166,1.0,1.0,0.027,1.164,-0.151,0.003,640.993,440,15
Fig. 2c,Model 1,TakeOffSpeed,TargetDistance,4.012,0.301,13.315,0.0,3.4214,4.6025,1.0,1.0,0.027,1.164,-0.151,0.003,640.993,440,15
Fig. 2d,Model 2,TakeOffAngle,Intercept,-5.259,2.127,-2.472,0.013,-9.4288,-1.0893,0.696,0.626,60.191,9294.483,-238.591,12.759,-1232.945,440,15
Fig. 2d,Model 2,TakeOffAngle,TargetDistance,174.46,26.22,6.654,0.0,123.0702,225.8494,1.0,1.0,60.191,9294.483,-238.591,12.759,-1232.945,440,15
Fig. S2a,Model 3,TakeOffAngle,Intercept,0.447,6.963,0.064,0.949,-13.2006,14.0936,0.05,0.05,61.707,4860.219,-406.274,12.752,-1223.228,440,15
Fig. S2a,Model 3,TakeOffAngle,TargetDistance,389.303,65.814,5.915,0.0,260.3101,518.296,1.0,0.999,61.707,4860.219,-406.274,12.752,-1223.228,440,15
Fig. S2a,Model 3,TakeOffAngle,BodyLength,-0.119,0.14,-0.852,0.394,-0.3939,0.1553,0.136,0.113,61.707,4860.219,-406.274,12.752,-1223.228,440,15
Fig. S2a,Model 3,TakeOffAngle,TargetDistance:BodyLength,-4.506,1.307,-3.448,0.001,-7.0682,-1.9447,0.932,0.893,61.707,4860.219,-406.274,12.752,-1223.228,440,15
Fig. 3c,Model 4,Frequency,Intercept,2.065,0.24,8.62,0.0,1.5956,2.5347,1.0,0.999,0.051,,,0.165,-58.225,92,6
Fig. 3c,Model 4,Frequency,TargetDistance_Peer,-0.011,0.003,-4.072,0.0,-0.0165,-0.0058,0.983,0.904,0.051,,,0.165,-58.225,92,6
Fig. 3d,Model 5,Amplitude,Intercept,1.474,0.495,2.978,0.003,0.5039,2.4439,0.846,0.651,0.388,0.0,-0.004,0.608,-117.381,92,6
Fig. 3d,Model 5,Amplitude,TargetDistance_Peer,0.019,0.006,3.027,0.002,0.0067,0.0313,0.857,0.668,0.388,0.0,-0.004,0.608,-117.381,92,6
Fig. 4c,Model 6,TakeOffSpeed,Intercept,0.972,0.032,30.736,0.0,0.9102,1.0342,1.0,1.0,0.01,,,0.002,353.13,244,10
Fig. 4c,Model 6,TakeOffSpeed,TargetAngle,-0.002,0.0,-12.7,0.0,-0.0019,-0.0014,1.0,1.0,0.01,,,0.002,353.13,244,10
Fig. 4d,Model 7,TakeOffAngle,Intercept,24.985,2.371,10.538,0.0,20.3377,29.6314,1.0,1.0,53.62,,,21.946,-744.263,244,10
Fig. 4d,Model 7,TakeOffAngle,TargetAngle,0.694,0.012,57.16,0.0,0.6701,0.7177,1.0,1.0,53.62,,,21.946,-744.263,244,10
Fig. S2b,Model 8,TakeOffAngle,Intercept,41.103,7.227,5.687,0.0,26.9383,55.2682,1.0,0.996,30.921,,,21.717,-746.59,244,10
Fig. S2b,Model 8,TakeOffAngle,TargetAngle,0.778,0.047,16.626,0.0,0.6861,0.8695,1.0,1.0,30.921,,,21.717,-746.59,244,10
Fig. S2b,Model 8,TakeOffAngle,BodyLength,-0.351,0.153,-2.301,0.021,-0.6499,-0.052,0.633,0.516,30.921,,,21.717,-746.59,244,10
Fig. S2b,Model 8,TakeOffAngle,TargetAngle:BodyLength,-0.002,0.001,-1.859,0.063,-0.0038,0.0001,0.46,0.349,30.921,,,21.717,-746.59,244,10
Fig. 5a,Model 9,alpha,Intercept,24.398,1.26,19.363,0.0,21.9282,26.8675,1.0,1.0,14.554,,,10.323,-650.585,244,10
Fig. 5a,Model 9,alpha,phi,0.825,0.008,98.692,0.0,0.8082,0.841,1.0,1.0,14.554,,,10.323,-650.585,244,10
Fig. 5c,Model 10,BodyAngle_Pre100,Intercept,37.158,1.924,19.316,0.0,33.3879,40.9285,1.0,1.0,35.214,,,15.139,-693.513,242,10
Fig. 5c,Model 10,BodyAngle_Pre100,TargetAngle,0.632,0.01,62.195,0.0,0.6125,0.6523,1.0,1.0,35.214,,,15.139,-693.513,242,10
Fig. 5d,Model 11,BodyAngle_Takeoff,Intercept,38.021,1.223,31.093,0.0,35.6242,40.4175,1.0,1.0,13.066,,,15.947,-695.201,242,10
Fig. 5d,Model 11,BodyAngle_Takeoff,TargetAngle,0.747,0.01,71.566,0.0,0.7261,0.767,1.0,1.0,13.066,,,15.947,-695.201,242,10
Fig. 5e,Model 12,BodyAngle_Touchdown,Intercept,69.463,3.545,19.592,0.0,62.5144,76.4123,1.0,1.0,105.859,,,167.847,-976.539,242,10
Fig. 5e,Model 12,BodyAngle_Touchdown,TargetAngle,0.916,0.034,27.075,0.0,0.8497,0.9823,1.0,1.0,105.859,,,167.847,-976.539,242,10
